DataCategory,DataType,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,ADWR,2015Use,1,SANTA CRUZ AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2015Use,2,PRESCOTT AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2015Use,3,PHOENIX AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2015Use,4,PINAL AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2015Use,5,TUCSON AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2016Use,1,SANTA CRUZ AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2016Use,2,PRESCOTT AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2016Use,3,PHOENIX AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2016Use,4,PINAL AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,2016Use,5,TUCSON AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2017GFR,1,SANTA CRUZ AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2017GFR,2,PRESCOTT AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2017GFR,3,PHOENIX AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2017GFR,4,PINAL AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2017GFR,5,TUCSON AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2018GFR,1,SANTA CRUZ AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2018GFR,2,PRESCOTT AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2018GFR,3,PHOENIX AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2018GFR,4,PINAL AMA,48,http://arizonawade.com
DETAIL,ALLOCATION,ADWR,MAR2018GFR,5,TUCSON AMA,48,http://arizonawade.com
